eps,n,s0,H0rd,M_B,chi2_total,delta_lcdm,delta_eps0
-0.33,-0.16999999999999998,0.7323985516651585,9548.29302668851,-19.310149716461844,1822.693395530849,50.2373955308492,50.129730460620294
-0.32,-0.18,0.7252620931964249,9564.578961209038,-19.311926250204248,1816.8746931089684,44.418693108968455,44.31102803873955
-0.31,-0.19,0.7178566336435229,9580.883231853571,-19.313678705371682,1811.4318725152236,38.97587251522373,38.86820744499482
-0.3,-0.2,0.71016758787951,9597.200322056698,-19.315406933523782,1806.353288124717,33.89728812471708,33.789623054488175
-0.29,-0.21000000000000002,0.7021791825598368,9613.524680200873,-19.317110804158347,1801.6274510285068,29.171451028506908,29.063785958278004
-0.28,-0.21999999999999997,0.6938743361292462,9629.850519467187,-19.318790172730765,1797.2430296166144,24.787029616614518,24.679364546385614
-0.27,-0.22999999999999998,0.685234452007303,9646.172348087759,-19.32044492708681,1793.1888500749299,20.732850074929956,20.625185004701052
-0.26,-0.24,0.6762392897091075,9662.48430026448,-19.32207494112428,1789.4538967970998,16.997896797099884,16.89023172687098
-0.25,-0.25,0.6668666589835028,9678.780839176974,-19.323680115639707,1786.027312712754,13.571312712754207,13.463647642525302
-0.24,-0.26,0.6570922339955086,9695.056202378993,-19.32526034517424,1782.8983995333886,10.442399533388652,10.334734463159748
-0.23,-0.27,0.6468891767678531,9711.304686047431,-19.326815544787912,1780.0566179175503,7.60061791755038,7.492952847321476
-0.22,-0.28,0.6362278114642285,9727.520552508828,-19.328345621918547,1777.4915875569875,5.035587556987593,4.927922486758689
-0.21,-0.29000000000000004,0.6250750903012425,9743.698204074595,-19.329850516184596,1775.1930871857069,2.7370871857069687,2.6294221154780644
-0.2,-0.3,0.6133941335223947,9759.831696845551,-19.331330148198372,1773.1510545139545,0.6950545139545738,0.5873894437256695
-0.19,-0.31,0.6011434727613864,9775.9154562469,-19.332784459269785,1771.3555860893557,-1.1004139106441926,-1.208078980873097
-0.18,-0.32,0.5882761628369046,9791.94373057523,-19.334213404198945,1769.7969370875949,-2.659062912405034,-2.766727982633938
-0.17,-0.32999999999999996,0.5747388019241966,9807.910737384866,-19.33561693727865,1768.4655210352007,-3.9904789647991947,-4.098144035028099
-0.16,-0.33999999999999997,0.560470041514205,9823.810799824472,-19.336995023836945,1767.3519094671574,-5.10409053284252,-5.211755603071424
-0.15,-0.35,0.5453988566669948,9839.63818974437,-19.33834764371603,1766.4468315222525,-6.00916847774738,-6.1168335479762845
-0.14,-0.36,0.5294421203667263,9855.387340919657,-19.339674774095155,1765.7411734791938,-6.7148265208061275,-6.822491591035032
-0.13,-0.37,0.5125015890121225,9871.052237695796,-19.340976395441434,1765.2259782367335,-7.23002176326645,-7.337686833495354
-0.12,-0.38,0.4944592181628154,9886.62759803609,-19.342252523133713,1764.8924447412032,-7.563555258796669,-7.671220329025573
-0.118,-0.382,0.4907064175625447,9889.731451156002,-19.342504691837018,1764.8467739083605,-7.609226091639357,-7.716891161868261
-0.116,-0.384,0.48690264460406685,9892.83134415592,-19.342755833907514,1764.80795480419,-7.6480451958098,-7.7557102660387045
-0.114,-0.386,0.48304651339798,9895.927344090243,-19.34300595306325,1764.7759192552446,-7.680080744755287,-7.787745814984191
-0.112,-0.388,0.4791365931464433,9899.019442548382,-19.343255062270643,1764.7505993352574,-7.705400664742456,-7.81306573497136
-0.11,-0.39,0.4751714201254139,9902.107556435287,-19.343503149239613,1764.7319273649098,-7.724072635090124,-7.8317377053190285
-0.108,-0.392,0.471149454496414,9905.191620167952,-19.343750215556067,1764.7198359116073,-7.73616408839257,-7.843829158621475
-0.106,-0.394,0.4670690928548173,9908.271515675558,-19.34399625993199,1764.7142577892464,-7.7417422107535,-7.849407280982405
-0.104,-0.396,0.4629285507188995,9911.347404628063,-19.34424128750719,1764.7151260579767,-7.7408739420232,-7.848539012252104
-0.102,-0.398,0.45872612697714504,9914.419062659923,-19.344485298785084,1764.7223740239713,-7.733625976028634,-7.841291046257538
-0.1,-0.4,0.45445988578792995,9917.486504705548,-19.344728286134224,1764.7359352391811,-7.7200647608187865,-7.827729831047691
-0.098,-0.402,0.4501278669966227,9920.549661501234,-19.344970258744663,1764.755743501098,-7.700256498901808,-7.807921569130713
-0.096,-0.404,0.4457279886381628,9923.608494413122,-19.345211210663418,1764.7817328525055,-7.674267147494447,-7.781932217723352
-0.094,-0.406,0.44125801781818147,9926.662966600787,-19.345451143785663,1764.8138375812373,-7.642162418762609,-7.749827488991514
-0.092,-0.40800000000000003,0.4367156232754146,9929.7131161818,-19.345690060564614,1764.8519922199346,-7.604007780065331,-7.711672850294235
-0.09,-0.41000000000000003,0.4320983525033101,9932.758833196298,-19.34592796314112,1764.896131545783,-7.559868454216939,-7.667533524445844
-0.088,-0.41200000000000003,0.4274036323346565,9935.79998583504,-19.34616484278217,1764.9461905802739,-7.509809419726025,-7.61747448995493
-0.086,-0.41400000000000003,0.42262864257686217,9938.836612976402,-19.346400705479898,1765.0021045889441,-7.4538954110557825,-7.561560481284687
-0.084,-0.416,0.4177704467209426,9941.8687014944,-19.34663555179672,1765.063809081117,-7.392190918882989,-7.499855989111893
-0.082,-0.418,0.4128259290779932,9944.896120149042,-19.346869384064806,1765.1312398096604,-7.324760190339475,-7.43242526056838
-0.08,-0.42,0.40779173093903764,9947.918933867391,-19.34710219770911,1765.2043327707042,-7.251667229295663,-7.359332299524567
-0.078,-0.422,0.40266430707614126,9950.936981706946,-19.34733399471336,1765.2830242033972,-7.172975796602714,-7.280640866831618
-0.076,-0.424,0.39743983446382575,9953.950312164034,-19.34756477842924,1765.3672505896393,-7.088749410360606,-7.19641448058951
-0.074,-0.426,0.3921142051167525,9956.958834456207,-19.3477945428081,1765.4569486538169,-6.999051346183023,-7.106716416411928
-0.072,-0.428,0.38668302677997146,9959.962545194237,-19.348023292919002,1765.55205536254,-6.903944637459972,-7.011609707688876
-0.07,-0.43,0.381141579496436,9962.96132757828,-19.348251033575746,1765.6525079243659,-6.80349207563404,-6.911157145862944
-0.068,-0.432,0.3754847643037879,9965.95517767079,-19.34847775115528,1765.7582437895385,-6.697756210461421,-6.805421280690325
-0.066,-0.434,0.3697070473720348,9968.944013795523,-19.34870345897802,1765.8692006497217,-6.58679935027817,-6.6944644205070745
-0.064,-0.436,0.36380238441467105,9971.927905335227,-19.348928156627004,1765.9853164377203,-6.470683562279646,-6.5783486325085505
-0.062,-0.438,0.3577642964631205,9974.906717534614,-19.349151834538272,1766.106529327201,-6.349470672798816,-6.45713574302772
-0.06,-0.44,0.3515856500921661,9977.880426439651,-19.34937450342601,1766.2327777324454,-6.223222267554547,-6.330887337783452
-0.058,-0.442,0.345258653332766,9980.848926898163,-19.349596156452304,1766.3640003080434,-6.0919996919565165,-6.199664762185421
-0.056,-0.444,0.33877467676758444,9983.812284955009,-19.34981680153664,1766.5001359486353,-5.955864051364642,-6.063529121593547
