Om,gamma,MB,H0rd
0.35254672923769903,2.857155130958492,-19.34259113708829,10008.216660394304
0.32773070493028705,2.938941898157924,-19.350692441813656,10046.343308406596
0.38480070291267343,2.82353732462088,-19.346951754585124,9845.027598676188
0.3487747122851967,2.907267980476397,-19.350857577029785,9920.77610005801
0.33313338151442773,2.918242430445761,-19.357028766607947,10056.384164238701
0.4122630364146219,2.749296316909369,-19.345037383804566,9829.417377070346
0.3796829032487866,2.837807310748852,-19.336263281510803,9903.170116648052
0.3377745180863471,2.8961015864111896,-19.35509780222232,10074.628567326774
0.33887226365193374,2.9034456832379547,-19.361018723208606,10054.937487662859
0.36666406912162036,2.848781439296322,-19.35019324295071,9967.922295790591
0.36117201986998243,2.841465018671423,-19.350903496653938,10002.639015102379
0.4226909030494538,2.7321212468450486,-19.33015039727347,9815.111766352611
0.3829723218899614,2.7865218137637395,-19.3440773973113,9970.314405338722
0.3455133887769996,2.8595715025653115,-19.34919765107121,10056.564605025354
0.37345571416576007,2.842034247931773,-19.35694114498684,9868.418141932418
0.3751890469857512,2.8351798132900154,-19.345453963604243,9884.594667844856
0.3266191306168733,2.954065904970913,-19.354696520776745,10015.78016076655
0.3559158965114235,2.880357883187922,-19.349234158529143,9973.81898037494
0.3489110937241407,2.8825728481668142,-19.353350866516813,10018.806100589549
0.36912881562550737,2.8808337754649895,-19.346614952351345,9875.983296791865
0.3509438331362152,2.9153283780159542,-19.343726089116636,9922.249374905932
0.3399007207942734,2.9007511792599296,-19.35248380932113,10044.98992730882
0.3448834808833233,2.8926258385909267,-19.35319190506932,10018.45866374517
0.36075349164658443,2.858631122004774,-19.3562516769479,9994.560422567027
0.3342556192115771,2.8837501065028555,-19.36118665140121,10062.571047617674
0.341674618028635,2.9497340199854647,-19.35086540390526,9932.62903819256
0.37738361731661835,2.7820448564242266,-19.348901674350092,9995.136824531923
0.3130020350820339,2.978731691574967,-19.354448175301357,10085.45501301851
0.3672249363705827,2.861614207239067,-19.346203658099878,9880.214716659299
0.37356289638653073,2.8528341315785277,-19.342022403619268,9871.814910830251
0.34392611681283813,2.9298142368710316,-19.347849712398244,10014.044389765068
0.37856499218155765,2.772822594836266,-19.3451455138123,10022.463855742684
0.35254672923769903,2.857155130958492,-19.34259113708829,10008.216660394304
0.32773070493028705,2.938941898157924,-19.350692441813656,10046.343308406596
0.38665019165880954,2.8167755901157765,-19.34699150167682,9841.374419308275
0.3487747122851967,2.907267980476397,-19.350857577029785,9920.77610005801
0.33313338151442773,2.918242430445761,-19.357028766607947,10056.384164238701
0.40594132834797114,2.760700741108148,-19.345763222815567,9850.850824680627
0.38078720620580425,2.834728177349216,-19.33856960711891,9890.624304240066
0.33818091469834966,2.8969902969625756,-19.354598170717345,10068.963518155895
0.33887226365193374,2.9034456832379547,-19.361018723208606,10054.937487662859
0.3690727457211717,2.8519902399359767,-19.349881743290688,9952.69640367126
0.36117201986998243,2.841465018671423,-19.350903496653938,10002.639015102379
0.4226909030494538,2.7321212468450486,-19.33015039727347,9815.111766352611
0.3829723218899614,2.7865218137637395,-19.3440773973113,9970.314405338722
0.33697382993152697,2.8976865682997146,-19.349915475985426,10051.656157869384
0.3754568860868791,2.8377930488195866,-19.357214621789637,9860.6311812918
0.3751890469857512,2.8351798132900154,-19.345453963604243,9884.594667844856
0.29860170662197816,3.0144840131134605,-19.362260807713255,10101.702868113633
